,,20~39세,20~39세,20~39세,65세이상,65세이상,65세이상,총합,총합,총합,소멸비율,소멸위기지역
인구수,,남자,여자,합계,남자,여자,합계,남자,여자,합계,,
광역시도,시도,,,,,,,,,,,
대구광역시,중구,10905,11137,22042,6159,8829,14991,34835,37999,72834,1.4858248282302715,False
대전광역시,대덕구,25157,20528,45685,12815,16226,29042,89219,86515,175734,1.4136767440258935,False
대전광역시,동구,34419,30300,64719,19157,25166,44323,117546,116175,233721,1.3672359722942942,False
대전광역시,서구,71928,69257,141185,28367,35610,63977,233608,242063,475671,2.1650593181924753,False
대전광역시,유성구,65595,55053,120648,16348,19993,36345,188649,178639,367288,3.0294676021461,False
대전광역시,중구,27398,26553,53951,20463,26719,47182,111459,115867,227326,1.1255563562375481,False
부산광역시,강서구,23301,18956,42257,7664,8523,16189,74929,67181,142110,2.3418370498486625,False
부산광역시,금정구,32982,29682,62664,21785,28590,50378,113576,120020,233596,1.1783715113740125,False
부산광역시,기장군,21002,19585,40587,12009,16330,28342,85460,87442,172902,1.3820478441888364,False
부산광역시,남구,35772,32904,68676,23412,30536,53951,129412,135344,264756,1.2197734981742692,False
부산광역시,동구,10672,10035,20707,9622,13582,23207,41858,44177,86035,0.8648252682380316,True
부산광역시,동래구,30885,29533,60418,22594,29110,51707,125854,133984,259838,1.1423211557429362,False
부산광역시,부산진구,49103,50969,100072,30751,40419,71174,167869,183332,351201,1.4322364908534015,False
부산광역시,북구,36786,32677,69463,22957,28763,51723,137830,141985,279815,1.263538464512886,False
부산광역시,사상구,30134,26158,56292,18031,22609,40642,106222,105566,211788,1.2872398011908863,False
부산광역시,사하구,40370,34641,75011,27260,34607,61870,151916,153874,305790,1.1197995797640212,False
부산광역시,서구,12473,12192,24665,11370,15581,26955,50384,53746,104130,0.9046188091263216,True
부산광역시,수영구,22338,23327,45665,16671,22328,39002,80283,90437,170720,1.196195066919645,False
부산광역시,연제구,24945,24770,49715,18314,23463,41777,96290,104927,201217,1.185819948775642,False
부산광역시,영도구,14600,10979,25579,13033,17759,30793,56466,56368,112834,0.7130841424999188,True
부산광역시,중구,6021,5241,11262,4651,6485,11137,20493,21046,41539,0.94118703421029,True
부산광역시,해운대구,44831,43724,88555,31060,40201,71261,185903,200161,386064,1.2271508960020208,False
서울특별시,강남구,65362,74173,139535,33766,40798,74564,240842,262177,503019,1.9895123652164584,False
서울특별시,강동구,62943,65132,128075,33231,39420,72651,220916,230183,451099,1.7930104196776369,False
서울특별시,강북구,38993,39052,78045,26923,35734,62657,141265,151346,292611,1.2465327098328998,False
서울특별시,강서구,86067,92906,178973,39750,50359,90109,268530,291307,559837,2.0620803693304777,False
서울특별시,관악구,102703,97771,200474,35176,44010,79186,247814,247963,495777,2.469401156770136,False
